State,District,Id_Indicator,Indicator,NFHS5,NFHS4,Change
Bihar,Purnia,15,Women with 10 or more years of schooling (%),19.2,15.1,4.1
Bihar,Purnia,17,Births in the 5 years preceding the survey that are third or higher order (%),7.4,6.2,1.2000000000000002
Bihar,Purnia,20,Any method6 (%),25.7,31.6,-5.900000000000002
Bihar,Purnia,21,Any modern method6 (%),24.3,30.2,-5.899999999999999
Bihar,Purnia,22,Female sterilization (%),20.8,27.5,-6.699999999999999
Bihar,Purnia,23,Male sterilization (%),0,0.1,-0.1
Bihar,Purnia,24,IUD/PPIUD (%),0.3,0,0.3
Bihar,Purnia,25,Pill (%),1.8,0.9,0.9
Bihar,Purnia,26,Condom (%),0.9,0.9,0
Bihar,Purnia,27,Injectables (%),0.3,0.5,-0.2
Bihar,Purnia,28,Total unmet need7 (%),20.2,22.8,-2.6000000000000014
Bihar,Purnia,29,Unmet need for spacing7 (%),9.3,10.5,-1.1999999999999993
Bihar,Purnia,30,Health worker ever talked to female non-users about family planning (%),9.4,21.7,-12.299999999999999
Bihar,Purnia,31,Current users ever told about side effects of current method8 (%),22,48.2,-26.200000000000003
Bihar,Purnia,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.4,86.7,6.700000000000003
Bihar,Purnia,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),41,46.8,-5.799999999999997
Bihar,Purnia,42,Institutional births (%),68.9,61.5,7.400000000000006
Bihar,Purnia,73,Children under 5 years who are stunted (height-for-age)18 (%),43.5,52.1,-8.600000000000001
Bihar,Purnia,74,Children under 5 years who are wasted (weight-for-height)18 (%),25.8,20.8,5
Bihar,Purnia,76,Children under 5 years who are underweight (weight-for-age)18 (%),47.1,47,0.10000000000000142
Bihar,Purnia,77,Children under 5 years who are overweight (weight-for-height)20 (%),0.8,2.1,-1.3
Bihar,Rohtas,1,Female population age 6 years and above who ever attended school (%),70.5,67.2,3.299999999999997
Bihar,Rohtas,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",924,892,32
Bihar,Rohtas,15,Women with 10 or more years of schooling (%),42.6,32.3,10.300000000000004
Bihar,Rohtas,17,Births in the 5 years preceding the survey that are third or higher order (%),6.1,4,2.0999999999999996
Bihar,Rohtas,20,Any method6 (%),73.9,44.8,29.10000000000001
Bihar,Rohtas,21,Any modern method6 (%),55.7,42.4,13.300000000000004
Bihar,Rohtas,22,Female sterilization (%),42.8,40.1,2.6999999999999957
Bihar,Rohtas,23,Male sterilization (%),1.2,0.2,1
Bihar,Rohtas,24,IUD/PPIUD (%),1.2,0.2,1
Bihar,Rohtas,25,Pill (%),1.8,0.7,1.1
Bihar,Rohtas,26,Condom (%),6.1,1.1,5
Bihar,Rohtas,27,Injectables (%),0.6,0,0.6
Bihar,Rohtas,28,Total unmet need7 (%),5.9,17,-11.1
Bihar,Rohtas,29,Unmet need for spacing7 (%),2.7,7.9,-5.2
Bihar,Rohtas,30,Health worker ever talked to female non-users about family planning (%),38.6,14.6,24
Bihar,Rohtas,31,Current users ever told about side effects of current method8 (%),59.1,26.2,32.900000000000006
Bihar,Rohtas,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),91.2,74.8,16.400000000000006
Bihar,Rohtas,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85,57.1,27.9
Bihar,Rohtas,42,Institutional births (%),89.1,80.7,8.399999999999991
Bihar,Rohtas,73,Children under 5 years who are stunted (height-for-age)18 (%),40,48.5,-8.5
Bihar,Rohtas,74,Children under 5 years who are wasted (weight-for-height)18 (%),31.8,19.9,11.900000000000002
Bihar,Rohtas,76,Children under 5 years who are underweight (weight-for-age)18 (%),48.2,45.1,3.1000000000000014
Bihar,Rohtas,77,Children under 5 years who are overweight (weight-for-height)20 (%),2.5,0.9,1.6
Bihar,Saharsa,1,Female population age 6 years and above who ever attended school (%),50.2,48,2.200000000000003
Bihar,Saharsa,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1034,968,66
Bihar,Saharsa,15,Women with 10 or more years of schooling (%),20.9,17.8,3.099999999999998
Bihar,Saharsa,17,Births in the 5 years preceding the survey that are third or higher order (%),4.9,7.7,-2.8
Bihar,Saharsa,20,Any method6 (%),44.7,29.2,15.500000000000004
Bihar,Saharsa,21,Any modern method6 (%),37.6,28.4,9.200000000000003
Bihar,Saharsa,22,Female sterilization (%),34.5,26,8.5
Bihar,Saharsa,23,Male sterilization (%),0,0,0
Bihar,Saharsa,24,IUD/PPIUD (%),0.8,0.5,0.30000000000000004
Bihar,Saharsa,25,Pill (%),0.5,1,-0.5
Bihar,Saharsa,26,Condom (%),0.9,0.4,0.5
Bihar,Saharsa,27,Injectables (%),0.8,0.6,0.20000000000000007
Bihar,Saharsa,28,Total unmet need7 (%),16.7,19.8,-3.1000000000000014
Bihar,Saharsa,29,Unmet need for spacing7 (%),8.2,10.3,-2.1000000000000014
Bihar,Saharsa,30,Health worker ever talked to female non-users about family planning (%),21.8,17.8,4
Bihar,Saharsa,31,Current users ever told about side effects of current method8 (%),38.7,39.5,-0.7999999999999972
Bihar,Saharsa,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.1,80.1,15
Bihar,Saharsa,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),38.5,40.4,-1.8999999999999986
Bihar,Saharsa,42,Institutional births (%),70.4,59.6,10.800000000000004
Bihar,Saharsa,73,Children under 5 years who are stunted (height-for-age)18 (%),47.8,43.9,3.8999999999999986
Bihar,Saharsa,74,Children under 5 years who are wasted (weight-for-height)18 (%),20.5,24,-3.5
Bihar,Saharsa,76,Children under 5 years who are underweight (weight-for-age)18 (%),42.7,44.4,-1.6999999999999957
Bihar,Saharsa,77,Children under 5 years who are overweight (weight-for-height)20 (%),1.9,0.9,0.9999999999999999
Bihar,Samastipur,1,Female population age 6 years and above who ever attended school (%),60.9,56.4,4.5
Bihar,Samastipur,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",890,1049,-159
Bihar,Samastipur,15,Women with 10 or more years of schooling (%),26.5,23.1,3.3999999999999986
Bihar,Samastipur,17,Births in the 5 years preceding the survey that are third or higher order (%),5.3,4.3,1
Bihar,Samastipur,20,Any method6 (%),63.7,13,50.7
Bihar,Samastipur,21,Any modern method6 (%),53.8,12.6,41.199999999999996
Bihar,Samastipur,22,Female sterilization (%),41.1,8.2,32.900000000000006
Bihar,Samastipur,23,Male sterilization (%),0.1,0,0.1
Bihar,Samastipur,24,IUD/PPIUD (%),0.6,1.3,-0.7000000000000001
Bihar,Samastipur,25,Pill (%),3,0.8,2.2
Bihar,Samastipur,26,Condom (%),4.4,1.5,2.9000000000000004
Bihar,Samastipur,27,Injectables (%),1.7,0.7,1
Bihar,Samastipur,28,Total unmet need7 (%),11.1,25.6,-14.500000000000002
Bihar,Samastipur,29,Unmet need for spacing7 (%),5.5,11.1,-5.6
Bihar,Samastipur,30,Health worker ever talked to female non-users about family planning (%),20.6,11.9,8.700000000000001
Bihar,Samastipur,31,Current users ever told about side effects of current method8 (%),59.4,39.6,19.799999999999997
Bihar,Samastipur,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),90.4,77.4,13
Bihar,Samastipur,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),52.1,35.5,16.6
Bihar,Samastipur,42,Institutional births (%),83.4,73.4,10
Bihar,Samastipur,73,Children under 5 years who are stunted (height-for-age)18 (%),44,49.2,-5.200000000000003
Bihar,Samastipur,74,Children under 5 years who are wasted (weight-for-height)18 (%),21.3,18.4,2.900000000000002
Bihar,Samastipur,76,Children under 5 years who are underweight (weight-for-age)18 (%),42.8,41.3,1.5
Bihar,Samastipur,77,Children under 5 years who are overweight (weight-for-height)20 (%),1.7,0.7,1
Bihar,Saran,1,Female population age 6 years and above who ever attended school (%),64.8,61.5,3.299999999999997
Bihar,Saran,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",779,976,-197
Bihar,Saran,15,Women with 10 or more years of schooling (%),35.5,28.1,7.399999999999999
Bihar,Saran,17,Births in the 5 years preceding the survey that are third or higher order (%),4.2,5.1,-0.8999999999999995
Bihar,Saran,20,Any method6 (%),41.1,8.7,32.400000000000006
Bihar,Saran,21,Any modern method6 (%),31.4,8,23.4
Bihar,Saran,22,Female sterilization (%),23.6,5,18.6
Bihar,Saran,23,Male sterilization (%),0,0,0
Bihar,Saran,24,IUD/PPIUD (%),0.4,0.4,0
Bihar,Saran,25,Pill (%),1.7,0.8,0.8999999999999999
Bihar,Saran,26,Condom (%),4.9,1.7,3.2
Bihar,Saran,27,Injectables (%),0.5,0.1,0.4
Bihar,Saran,28,Total unmet need7 (%),17.3,26.2,-8.899999999999999
Bihar,Saran,29,Unmet need for spacing7 (%),7.7,10.5,-2.8
Bihar,Saran,30,Health worker ever talked to female non-users about family planning (%),18,9.2,8.8
Bihar,Saran,31,Current users ever told about side effects of current method8 (%),36.7,NA,NA
Bihar,Saran,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.3,81.3,13
Bihar,Saran,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),54.1,34.5,19.6
Bihar,Saran,42,Institutional births (%),73,62,11
Bihar,Saran,73,Children under 5 years who are stunted (height-for-age)18 (%),39.7,46.1,-6.399999999999999
Bihar,Saran,74,Children under 5 years who are wasted (weight-for-height)18 (%),28.8,18.1,10.7
Bihar,Saran,76,Children under 5 years who are underweight (weight-for-age)18 (%),45,40.4,4.600000000000001
Bihar,Saran,77,Children under 5 years who are overweight (weight-for-height)20 (%),2,1.5,0.5
Bihar,Sheikhpura,1,Female population age 6 years and above who ever attended school (%),58.5,59.4,-0.8999999999999986
Bihar,Sheikhpura,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",888,1013,-125
Bihar,Sheikhpura,15,Women with 10 or more years of schooling (%),28.3,22.1,6.199999999999999
Bihar,Sheikhpura,17,Births in the 5 years preceding the survey that are third or higher order (%),5.7,4.5,1.2000000000000002
Bihar,Sheikhpura,20,Any method6 (%),78.8,32.6,46.199999999999996
Bihar,Sheikhpura,21,Any modern method6 (%),50.3,31.3,18.999999999999996
Bihar,Sheikhpura,22,Female sterilization (%),37.2,27.8,9.400000000000002
Bihar,Sheikhpura,23,Male sterilization (%),0.2,0,0.2
Bihar,Sheikhpura,24,IUD/PPIUD (%),0.6,1.2,-0.6
Bihar,Sheikhpura,25,Pill (%),1.5,1,0.5
Bihar,Sheikhpura,26,Condom (%),4.8,0.7,4.1
Bihar,Sheikhpura,27,Injectables (%),2.3,0.6,1.6999999999999997
Bihar,Sheikhpura,28,Total unmet need7 (%),3.2,19.8,-16.6
Bihar,Sheikhpura,29,Unmet need for spacing7 (%),1.5,8.1,-6.6
Bihar,Sheikhpura,30,Health worker ever talked to female non-users about family planning (%),26.2,23,3.1999999999999993
Bihar,Sheikhpura,31,Current users ever told about side effects of current method8 (%),58.6,46.5,12.100000000000001
Bihar,Sheikhpura,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),87.7,82.2,5.5
Bihar,Sheikhpura,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),77.1,57.2,19.89999999999999
Bihar,Sheikhpura,42,Institutional births (%),89.2,74.6,14.600000000000009
Bihar,Sheikhpura,73,Children under 5 years who are stunted (height-for-age)18 (%),53.6,46.4,7.200000000000003
Bihar,Sheikhpura,74,Children under 5 years who are wasted (weight-for-height)18 (%),16.3,28.9,-12.599999999999998
Bihar,Sheikhpura,76,Children under 5 years who are underweight (weight-for-age)18 (%),37.6,51.7,-14.100000000000001
Bihar,Sheikhpura,77,Children under 5 years who are overweight (weight-for-height)20 (%),5.6,0.8,4.8
Bihar,Sheohar,1,Female population age 6 years and above who ever attended school (%),56.2,52,4.200000000000003
Bihar,Sheohar,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1017,900,117
Bihar,Sheohar,15,Women with 10 or more years of schooling (%),21,13.8,7.199999999999999
Bihar,Sheohar,17,Births in the 5 years preceding the survey that are third or higher order (%),4.7,5.7,-1
Bihar,Sheohar,20,Any method6 (%),65.6,18.7,46.89999999999999
Bihar,Sheohar,21,Any modern method6 (%),49.7,17.9,31.800000000000004
Bihar,Sheohar,22,Female sterilization (%),38.2,15.4,22.800000000000004
Bihar,Sheohar,23,Male sterilization (%),0,0.1,-0.1
Bihar,Sheohar,24,IUD/PPIUD (%),1.1,0.4,0.7000000000000001
Bihar,Sheohar,25,Pill (%),1.6,0.6,1
Bihar,Sheohar,26,Condom (%),4.3,1.3,3
Bihar,Sheohar,27,Injectables (%),1.7,0.1,1.5999999999999999
Bihar,Sheohar,28,Total unmet need7 (%),10.4,26,-15.6
Bihar,Sheohar,29,Unmet need for spacing7 (%),5.3,12.2,-6.8999999999999995
Bihar,Sheohar,30,Health worker ever talked to female non-users about family planning (%),24.7,12.8,11.899999999999999
Bihar,Sheohar,31,Current users ever told about side effects of current method8 (%),58.7,21.4,37.300000000000004
Bihar,Sheohar,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.2,80.4,12.799999999999997
Bihar,Sheohar,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),61.1,34.5,26.6
Bihar,Sheohar,42,Institutional births (%),74.3,52.7,21.599999999999994
Bihar,Sheohar,73,Children under 5 years who are stunted (height-for-age)18 (%),34.4,53,-18.6
Bihar,Sheohar,74,Children under 5 years who are wasted (weight-for-height)18 (%),35.4,14.8,20.599999999999998
Bihar,Sheohar,76,Children under 5 years who are underweight (weight-for-age)18 (%),42.2,42.8,-0.5999999999999943
Bihar,Sheohar,77,Children under 5 years who are overweight (weight-for-height)20 (%),3.4,0.8,2.5999999999999996
Bihar,Sitamarhi,1,Female population age 6 years and above who ever attended school (%),59.1,53.4,5.700000000000003
Bihar,Sitamarhi,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1009,993,16
Bihar,Sitamarhi,15,Women with 10 or more years of schooling (%),19.2,12.2,7
Bihar,Sitamarhi,17,Births in the 5 years preceding the survey that are third or higher order (%),6.3,5.3,1
Bihar,Sitamarhi,20,Any method6 (%),52.8,33.8,19
Bihar,Sitamarhi,21,Any modern method6 (%),41,31.9,9.100000000000001
Bihar,Sitamarhi,22,Female sterilization (%),33.9,26.7,7.199999999999999
Bihar,Sitamarhi,23,Male sterilization (%),0,0,0
Bihar,Sitamarhi,24,IUD/PPIUD (%),1.2,0.6,0.6
Bihar,Sitamarhi,25,Pill (%),1.3,1.6,-0.30000000000000004
Bihar,Sitamarhi,26,Condom (%),2.1,2.2,-0.10000000000000009
Bihar,Sitamarhi,27,Injectables (%),1.5,0.7,0.8
Bihar,Sitamarhi,28,Total unmet need7 (%),17,19.6,-2.6000000000000014
Bihar,Sitamarhi,29,Unmet need for spacing7 (%),7.1,10.1,-3
Bihar,Sitamarhi,30,Health worker ever talked to female non-users about family planning (%),17.3,16.5,0.8000000000000007
Bihar,Sitamarhi,31,Current users ever told about side effects of current method8 (%),52.2,39.6,12.600000000000001
Bihar,Sitamarhi,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),91.1,79.3,11.799999999999997
Bihar,Sitamarhi,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),51.1,38.1,13
Bihar,Sitamarhi,42,Institutional births (%),64.4,37.2,27.200000000000003
Bihar,Sitamarhi,73,Children under 5 years who are stunted (height-for-age)18 (%),54.2,57.3,-3.0999999999999943
Bihar,Sitamarhi,74,Children under 5 years who are wasted (weight-for-height)18 (%),16.2,15.8,0.3999999999999986
Bihar,Sitamarhi,76,Children under 5 years who are underweight (weight-for-age)18 (%),40.8,47.7,-6.900000000000006
Bihar,Sitamarhi,77,Children under 5 years who are overweight (weight-for-height)20 (%),2.2,1,1.2000000000000002
Bihar,Siwan,1,Female population age 6 years and above who ever attended school (%),70.7,62.5,8.200000000000003
Bihar,Siwan,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1060,983,77
Bihar,Siwan,15,Women with 10 or more years of schooling (%),38.9,29.4,9.5
Bihar,Siwan,17,Births in the 5 years preceding the survey that are third or higher order (%),3.8,3.8,0
Bihar,Siwan,20,Any method6 (%),53.5,9.8,43.7
Bihar,Siwan,21,Any modern method6 (%),42.4,9.3,33.099999999999994
Bihar,Siwan,22,Female sterilization (%),30.2,6.5,23.7
Bihar,Siwan,23,Male sterilization (%),0,0,0
Bihar,Siwan,24,IUD/PPIUD (%),0,0.2,-0.2
Bihar,Siwan,25,Pill (%),2.3,1.6,0.6999999999999997
Bihar,Siwan,26,Condom (%),7,0.9,6.1
Bihar,Siwan,27,Injectables (%),0.7,0.1,0.6
Bihar,Siwan,28,Total unmet need7 (%),15.4,24.8,-9.4
Bihar,Siwan,29,Unmet need for spacing7 (%),5.1,9.4,-4.300000000000001
Bihar,Siwan,30,Health worker ever talked to female non-users about family planning (%),9.3,8.1,1.200000000000001
Bihar,Siwan,31,Current users ever told about side effects of current method8 (%),40.2,48.3,-8.099999999999994
Bihar,Siwan,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),82.9,72.7,10.200000000000003
Bihar,Siwan,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),63.9,36.1,27.799999999999997
Bihar,Siwan,42,Institutional births (%),86.4,74.8,11.600000000000009
Bihar,Siwan,73,Children under 5 years who are stunted (height-for-age)18 (%),36.7,37.9,-1.1999999999999957
Bihar,Siwan,74,Children under 5 years who are wasted (weight-for-height)18 (%),18.2,15,3.1999999999999993
Bihar,Siwan,76,Children under 5 years who are underweight (weight-for-age)18 (%),30.8,31.6,-0.8000000000000007
Bihar,Siwan,77,Children under 5 years who are overweight (weight-for-height)20 (%),3.1,1.9,1.2000000000000002
Bihar,Supaul,1,Female population age 6 years and above who ever attended school (%),50.9,47.6,3.299999999999997
Bihar,Supaul,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",884,909,-25
Bihar,Supaul,15,Women with 10 or more years of schooling (%),16.2,13.4,2.799999999999999
Bihar,Supaul,17,Births in the 5 years preceding the survey that are third or higher order (%),5.6,5.2,0.39999999999999947
Bihar,Supaul,20,Any method6 (%),63.7,33.7,30
Bihar,Supaul,21,Any modern method6 (%),56.2,33.6,22.6
Bihar,Supaul,22,Female sterilization (%),50.5,32.1,18.4
Bihar,Supaul,23,Male sterilization (%),0,0.1,-0.1
Bihar,Supaul,24,IUD/PPIUD (%),0.6,0.4,0.19999999999999996
Bihar,Supaul,25,Pill (%),0.8,0.6,0.20000000000000007
Bihar,Supaul,26,Condom (%),1.5,0.2,1.3
Bihar,Supaul,27,Injectables (%),1.7,0.1,1.5999999999999999
Bihar,Supaul,28,Total unmet need7 (%),12.1,18.3,-6.200000000000001
Bihar,Supaul,29,Unmet need for spacing7 (%),5.7,9.1,-3.3999999999999995
Bihar,Supaul,30,Health worker ever talked to female non-users about family planning (%),26.1,7.1,19
Bihar,Supaul,31,Current users ever told about side effects of current method8 (%),44.5,36.2,8.299999999999997
Bihar,Supaul,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.1,83.5,12.599999999999994
Bihar,Supaul,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),60.7,48,12.700000000000003
Bihar,Supaul,42,Institutional births (%),80.4,61.1,19.300000000000004
Bihar,Supaul,73,Children under 5 years who are stunted (height-for-age)18 (%),42.3,48.1,-5.800000000000004
Bihar,Supaul,74,Children under 5 years who are wasted (weight-for-height)18 (%),25.8,20.9,4.900000000000002
Bihar,Supaul,76,Children under 5 years who are underweight (weight-for-age)18 (%),45,43.4,1.6000000000000014
Bihar,Supaul,77,Children under 5 years who are overweight (weight-for-height)20 (%),1.4,1.7,-0.30000000000000004
Bihar,Vaishali,1,Female population age 6 years and above who ever attended school (%),64.5,58.7,5.799999999999997
Bihar,Vaishali,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1118,826,292
Bihar,Vaishali,15,Women with 10 or more years of schooling (%),34,28.2,5.800000000000001
Bihar,Vaishali,17,Births in the 5 years preceding the survey that are third or higher order (%),4.6,3.6,0.9999999999999996
Bihar,Vaishali,20,Any method6 (%),45.8,24,21.799999999999997
Bihar,Vaishali,21,Any modern method6 (%),41,23.3,17.7
Bihar,Vaishali,22,Female sterilization (%),36.5,21.3,15.2
Bihar,Vaishali,23,Male sterilization (%),0,0.1,-0.1
Bihar,Vaishali,24,IUD/PPIUD (%),0.9,0.1,0.8
Bihar,Vaishali,25,Pill (%),0.8,0.5,0.30000000000000004
Bihar,Vaishali,26,Condom (%),1.9,1,0.8999999999999999
Bihar,Vaishali,27,Injectables (%),0.7,0.3,0.39999999999999997
Bihar,Vaishali,28,Total unmet need7 (%),16.7,20.8,-4.100000000000001
Bihar,Vaishali,29,Unmet need for spacing7 (%),8.3,9.7,-1.3999999999999986
Bihar,Vaishali,30,Health worker ever talked to female non-users about family planning (%),18.5,12.8,5.699999999999999
Bihar,Vaishali,31,Current users ever told about side effects of current method8 (%),47.4,31.6,15.799999999999997
Bihar,Vaishali,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),88.5,89.3,-0.7999999999999972
Bihar,Vaishali,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),57.4,40.8,16.6
Bihar,Vaishali,42,Institutional births (%),81.6,78.9,2.6999999999999886
Bihar,Vaishali,73,Children under 5 years who are stunted (height-for-age)18 (%),38.3,53.7,-15.400000000000006
Bihar,Vaishali,74,Children under 5 years who are wasted (weight-for-height)18 (%),19.6,15.1,4.500000000000002
Bihar,Vaishali,76,Children under 5 years who are underweight (weight-for-age)18 (%),38.4,41.3,-2.8999999999999986
Bihar,Vaishali,77,Children under 5 years who are overweight (weight-for-height)20 (%),3.8,1.1,2.6999999999999997
Chhattisgarh,Balod,1,Female population age 6 years and above who ever attended school (%),76.4,NA,NA
Chhattisgarh,Balod,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1068,NA,NA
Chhattisgarh,Balod,15,Women with 10 or more years of schooling (%),46.3,NA,NA
Chhattisgarh,Balod,17,Births in the 5 years preceding the survey that are third or higher order (%),0.3,NA,NA
Chhattisgarh,Balod,20,Any method6 (%),83.5,NA,NA
Chhattisgarh,Balod,21,Any modern method6 (%),79.9,NA,NA
Chhattisgarh,Balod,22,Female sterilization (%),68.4,NA,NA
Chhattisgarh,Balod,23,Male sterilization (%),0.7,NA,NA
Chhattisgarh,Balod,24,IUD/PPIUD (%),2.3,NA,NA
Chhattisgarh,Balod,25,Pill (%),0.8,NA,NA
Chhattisgarh,Balod,26,Condom (%),3.4,NA,NA
Chhattisgarh,Balod,27,Injectables (%),1.1,NA,NA
Chhattisgarh,Balod,28,Total unmet need7 (%),2.6,NA,NA
Chhattisgarh,Balod,29,Unmet need for spacing7 (%),1,NA,NA
Chhattisgarh,Balod,30,Health worker ever talked to female non-users about family planning (%),37.5,NA,NA
Chhattisgarh,Balod,31,Current users ever told about side effects of current method8 (%),94.1,NA,NA
Chhattisgarh,Balod,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.4,NA,NA
Chhattisgarh,Balod,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.8,NA,NA
Chhattisgarh,Balod,42,Institutional births (%),97.4,NA,NA
Chhattisgarh,Balod,73,Children under 5 years who are stunted (height-for-age)18 (%),33.6,NA,NA
Chhattisgarh,Balod,74,Children under 5 years who are wasted (weight-for-height)18 (%),15.1,NA,NA
Chhattisgarh,Balod,76,Children under 5 years who are underweight (weight-for-age)18 (%),36,NA,NA
Chhattisgarh,Balod,77,Children under 5 years who are overweight (weight-for-height)20 (%),7.7,NA,NA
Chhattisgarh,Baloda Bazar,1,Female population age 6 years and above who ever attended school (%),66.7,NA,NA
Chhattisgarh,Baloda Bazar,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1021,NA,NA
Chhattisgarh,Baloda Bazar,15,Women with 10 or more years of schooling (%),38.7,NA,NA
Chhattisgarh,Baloda Bazar,17,Births in the 5 years preceding the survey that are third or higher order (%),2.2,NA,NA
Chhattisgarh,Baloda Bazar,20,Any method6 (%),71.5,NA,NA
Chhattisgarh,Baloda Bazar,21,Any modern method6 (%),62.8,NA,NA
Chhattisgarh,Baloda Bazar,22,Female sterilization (%),43.2,NA,NA
Chhattisgarh,Baloda Bazar,23,Male sterilization (%),0.8,NA,NA
Chhattisgarh,Baloda Bazar,24,IUD/PPIUD (%),4.7,NA,NA
Chhattisgarh,Baloda Bazar,25,Pill (%),3.8,NA,NA
Chhattisgarh,Baloda Bazar,26,Condom (%),3.9,NA,NA
Chhattisgarh,Baloda Bazar,27,Injectables (%),0.2,NA,NA
Chhattisgarh,Baloda Bazar,28,Total unmet need7 (%),5.3,NA,NA
Chhattisgarh,Baloda Bazar,29,Unmet need for spacing7 (%),2.4,NA,NA
Chhattisgarh,Baloda Bazar,30,Health worker ever talked to female non-users about family planning (%),17.6,NA,NA
Chhattisgarh,Baloda Bazar,31,Current users ever told about side effects of current method8 (%),73.4,NA,NA
Chhattisgarh,Baloda Bazar,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.6,NA,NA
Chhattisgarh,Baloda Bazar,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),72.6,NA,NA
Chhattisgarh,Baloda Bazar,42,Institutional births (%),78.1,NA,NA
Chhattisgarh,Baloda Bazar,73,Children under 5 years who are stunted (height-for-age)18 (%),40.9,NA,NA
Chhattisgarh,Baloda Bazar,74,Children under 5 years who are wasted (weight-for-height)18 (%),19.4,NA,NA
Chhattisgarh,Baloda Bazar,76,Children under 5 years who are underweight (weight-for-age)18 (%),34.1,NA,NA
Chhattisgarh,Baloda Bazar,77,Children under 5 years who are overweight (weight-for-height)20 (%),7.3,NA,NA
Chhattisgarh,Balrampur,1,Female population age 6 years and above who ever attended school (%),62.1,NA,NA
Chhattisgarh,Balrampur,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",887,NA,NA
Chhattisgarh,Balrampur,15,Women with 10 or more years of schooling (%),32.2,NA,NA
Chhattisgarh,Balrampur,17,Births in the 5 years preceding the survey that are third or higher order (%),2.6,NA,NA
Chhattisgarh,Balrampur,20,Any method6 (%),52,NA,NA
Chhattisgarh,Balrampur,21,Any modern method6 (%),46.8,NA,NA
Chhattisgarh,Balrampur,22,Female sterilization (%),32.2,NA,NA
Chhattisgarh,Balrampur,23,Male sterilization (%),0,NA,NA
Chhattisgarh,Balrampur,24,IUD/PPIUD (%),2.9,NA,NA
Chhattisgarh,Balrampur,25,Pill (%),1.9,NA,NA
Chhattisgarh,Balrampur,26,Condom (%),3.2,NA,NA
Chhattisgarh,Balrampur,27,Injectables (%),0.2,NA,NA
Chhattisgarh,Balrampur,28,Total unmet need7 (%),16,NA,NA
Chhattisgarh,Balrampur,29,Unmet need for spacing7 (%),3.4,NA,NA
Chhattisgarh,Balrampur,30,Health worker ever talked to female non-users about family planning (%),35.9,NA,NA
Chhattisgarh,Balrampur,31,Current users ever told about side effects of current method8 (%),83.5,NA,NA
Chhattisgarh,Balrampur,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),88.5,NA,NA
