State,District,Female population age 6 years and above who ever attended school (%),"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Women with 10 or more years of schooling (%),Births in the 5 years preceding the survey that are third or higher order (%),Any method6 (%),Any modern method6 (%),Female sterilization (%),Male sterilization (%),Condom (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method8 (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Institutional births (%),Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),2010-11 GDP (in Rs. Cr.),2010-11 Growth Rate % (YoY)
Punjab,Firozpur,,,,,,,,,,,,,,,,,,,,
Punjab,Gurdaspur,,,,,,,,,,,,,,,,,,,,
Punjab,Hoshiarpur,,,,,,,,,,,,,,,,,,,,
Punjab,Jalandhar,,,,,,,,,,,,,,,,,,,,
Punjab,Kapurthala,,,,,,,,,,,,,,,,,,,,
Punjab,Ludhiana,,,,,,,,,,,,,,,,,,,,
Punjab,Mansa,,,,,,,,,,,,,,,,,,,,
Punjab,Moga,,,,,,,,,,,,,,,,,,,,
Punjab,Muktsar,,,,,,,,,,,,,,,,,,,,
Punjab,Pathankot,,,,,,,,,,,,,,,,,,,,
Punjab,Patiala,,,,,,,,,,,,,,,,,,,,
Punjab,Rupnagar,,,,,,,,,,,,,,,,,,,,
Punjab,Sahibzada Ajit Singh Nagar,,,,,,,,,,,,,,,,,,,,
Punjab,Sangrur,,,,,,,,,,,,,,,,,,,,
Punjab,Shahid Bhagat Singh Nagar,,,,,,,,,,,,,,,,,,,,
Punjab,Tarn Taran,,,,,,,,,,,,,,,,,,,,
Sikkim,East District,,,,,,,,,,,,,,,,,,,,
Sikkim,North  District,,,,,,,,,,,,,,,,,,,,
Sikkim,South District,,,,,,,,,,,,,,,,,,,,
Sikkim,West District,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Ariyalur,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Chennai,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Coimbatore,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Cuddalore,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Dharmapuri,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Dindigul,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Erode,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Kancheepuram,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Kanniyakumari,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Karur,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Krishnagiri,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Madurai,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Nagapattinam,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Namakkal,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Perambalur,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Pudukkottai,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Ramanathapuram,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Salem,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Sivaganga,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Thanjavur,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,The Nilgiris,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Theni,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Thiruvallur,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Thiruvarur,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Thoothukkudi,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Tiruchirappalli,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Tirunelveli,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Tiruppur,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Tiruvannamalai,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Vellore,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Viluppuram,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Virudhunagar,,,,,,,,,,,,,,,,,,,,
Telangana,Adilabad,,,,,,,,,,,,,,,,,,,,
Telangana,Bhadradri Kothagudem,,,,,,,,,,,,,,,,,,,,
Telangana,Hyderabad,,,,,,,,,,,,,,,,,,,,
Telangana,Jagitial,,,,,,,,,,,,,,,,,,,,
Telangana,Jangoan,,,,,,,,,,,,,,,,,,,,
Telangana,Jayashankar Bhupalapally,,,,,,,,,,,,,,,,,,,,
Telangana,Jogulamba Gadwal,,,,,,,,,,,,,,,,,,,,
Telangana,Kamareddy,,,,,,,,,,,,,,,,,,,,
Telangana,Karimnagar,,,,,,,,,,,,,,,,,,,,
Telangana,Khammam,,,,,,,,,,,,,,,,,,,,
Telangana,Komaram Bheem Asifabad,,,,,,,,,,,,,,,,,,,,
Telangana,Mahabubabad,,,,,,,,,,,,,,,,,,,,
Telangana,Mahabubnagar,,,,,,,,,,,,,,,,,,,,
Telangana,Mancherial,,,,,,,,,,,,,,,,,,,,
Telangana,Medak,,,,,,,,,,,,,,,,,,,,
Telangana,Medchal-Malkajgiri,,,,,,,,,,,,,,,,,,,,
Telangana,Nagarkurnool,,,,,,,,,,,,,,,,,,,,
Telangana,Nalgonda,,,,,,,,,,,,,,,,,,,,
Telangana,Nirmal,,,,,,,,,,,,,,,,,,,,
Telangana,Nizamabad,,,,,,,,,,,,,,,,,,,,
Telangana,Peddapalli,,,,,,,,,,,,,,,,,,,,
Telangana,Rajanna Sircilla,,,,,,,,,,,,,,,,,,,,
Telangana,Ranga Reddy,,,,,,,,,,,,,,,,,,,,
Telangana,Sangareddy,,,,,,,,,,,,,,,,,,,,
Telangana,Siddipet,,,,,,,,,,,,,,,,,,,,
Telangana,Suryapet,,,,,,,,,,,,,,,,,,,,
Telangana,Vikarabad,,,,,,,,,,,,,,,,,,,,
Telangana,Wanaparthy,,,,,,,,,,,,,,,,,,,,
Telangana,Warangal Rural,,,,,,,,,,,,,,,,,,,,
Telangana,Warangal Urban,,,,,,,,,,,,,,,,,,,,
Telangana,Yadadri Bhuvanagiri,,,,,,,,,,,,,,,,,,,,
Tripura,Dhalai,,,,,,,,,,,,,,,,,,,,
Tripura,Gomati,,,,,,,,,,,,,,,,,,,,
Tripura,Khowai,,,,,,,,,,,,,,,,,,,,
Tripura,North Tripura,,,,,,,,,,,,,,,,,,,,
Tripura,Sepahijala,,,,,,,,,,,,,,,,,,,,
Tripura,South Tripura,,,,,,,,,,,,,,,,,,,,
Tripura,Unakoti,,,,,,,,,,,,,,,,,,,,
Tripura,West Tripura,,,,,,,,,,,,,,,,,,,,
Uttarakhand,Almora,,,,,,,,,,,,,,,,,,,,
Uttarakhand,Bageshwar,,,,,,,,,,,,,,,,,,,,
Uttarakhand,Chamoli,,,,,,,,,,,,,,,,,,,,
Uttarakhand,Champawat,,,,,,,,,,,,,,,,,,,,
Uttarakhand,Dehradun,,,,,,,,,,,,,,,,,,,,
Uttarakhand,Hardwar,,,,,,,,,,,,,,,,,,,,
Uttarakhand,Nainital,,,,,,,,,,,,,,,,,,,,
Uttarakhand,Pauri Garhwal,,,,,,,,,,,,,,,,,,,,
Uttarakhand,Pithoragarh,,,,,,,,,,,,,,,,,,,,
Uttarakhand,Rudraprayag,,,,,,,,,,,,,,,,,,,,
Uttarakhand,Tehri Garhwal,,,,,,,,,,,,,,,,,,,,
Uttarakhand,Udham Singh Nagar,,,,,,,,,,,,,,,,,,,,
Uttarakhand,Uttarkashi,,,,,,,,,,,,,,,,,,,,
West Bengal,Bankura,,,,,,,,,,,,,,,,,,,,
West Bengal,Birbhum,,,,,,,,,,,,,,,,,,,,
West Bengal,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,
West Bengal,Darjeeling,,,,,,,,,,,,,,,,,,,,
West Bengal,Haora,,,,,,,,,,,,,,,,,,,,
West Bengal,Hugli,,,,,,,,,,,,,,,,,,,,
West Bengal,Jalpaiguri,,,,,,,,,,,,,,,,,,,,
West Bengal,Koch Bihar,,,,,,,,,,,,,,,,,,,,
West Bengal,Kolkata,,,,,,,,,,,,,,,,,,,,
West Bengal,Maldah,,,,,,,,,,,,,,,,,,,,
West Bengal,Murshidabad,,,,,,,,,,,,,,,,,,,,
West Bengal,Nadia,,,,,,,,,,,,,,,,,,,,
West Bengal,North Twenty Four Parganas,,,,,,,,,,,,,,,,,,,,
West Bengal,Paschim Barddhaman,,,,,,,,,,,,,,,,,,,,
West Bengal,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,
West Bengal,Purba Barddhaman,,,,,,,,,,,,,,,,,,,,
West Bengal,Purba Medinipur,,,,,,,,,,,,,,,,,,,,
West Bengal,Puruliya,,,,,,,,,,,,,,,,,,,,
West Bengal,South Twenty Four Parganas,,,,,,,,,,,,,,,,,,,,
West Bengal,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,Bilaspur,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,Chamba,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,Hamirpur,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,Kangra,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,Kinnaur,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,Kullu,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,Lahul and Spiti,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,Mandi,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,Shimla,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,Sirmaur,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,Solan,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,Una,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Agar Malwa,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Alirajpur,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Anuppur,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Ashoknagar,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Balaghat,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Barwani,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Betul,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Bhind,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Bhopal,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Burhanpur,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Chhatarpur,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Chhindwara,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Damoh,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Datia,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Dewas,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Dhar,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Dindori,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Guna,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Gwalior,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Harda,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Hoshangabad,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Indore,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Jabalpur,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Jhabua,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Katni,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Khandwa (East Nimar),,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Khargone (West Nimar),,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Mandla,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Mandsaur,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Morena,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Narsimhapur,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Neemuch,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Panna,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Raisen,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Rajgarh,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Ratlam,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Rewa,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Sagar,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Satna,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Sehore,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Seoni,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Shahdol,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Shajapur,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Sheopur,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Shivpuri,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Sidhi,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Singrauli,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Tikamgarh,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Ujjain,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Umaria,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Vidisha,,,,,,,,,,,,,,,,,,,,
NCT Delhi,Central,,,,,,,,,,,,,,,,,,,,
NCT Delhi,East,,,,,,,,,,,,,,,,,,,,
NCT Delhi,New Delhi,,,,,,,,,,,,,,,,,,,,
NCT Delhi,North,,,,,,,,,,,,,,,,,,,,
NCT Delhi,North East,,,,,,,,,,,,,,,,,,,,
NCT Delhi,North West,,,,,,,,,,,,,,,,,,,,
NCT Delhi,Shahdara,,,,,,,,,,,,,,,,,,,,
NCT Delhi,South,,,,,,,,,,,,,,,,,,,,
NCT Delhi,South East,,,,,,,,,,,,,,,,,,,,
NCT Delhi,South West,,,,,,,,,,,,,,,,,,,,
NCT Delhi,West,,,,,,,,,,,,,,,,,,,,
Rajasthan,Ajmer,,,,,,,,,,,,,,,,,,,,
Rajasthan,Alwar,,,,,,,,,,,,,,,,,,,,
Rajasthan,Banswara,,,,,,,,,,,,,,,,,,,,
Rajasthan,Baran,,,,,,,,,,,,,,,,,,,,
Rajasthan,Barmer,,,,,,,,,,,,,,,,,,,,
Rajasthan,Bharatpur,,,,,,,,,,,,,,,,,,,,
Rajasthan,Bhilwara,,,,,,,,,,,,,,,,,,,,
Rajasthan,Bikaner,,,,,,,,,,,,,,,,,,,,
Rajasthan,Bundi,,,,,,,,,,,,,,,,,,,,
Rajasthan,Chittaurgarh,,,,,,,,,,,,,,,,,,,,
Rajasthan,Churu,,,,,,,,,,,,,,,,,,,,
Rajasthan,Dausa,,,,,,,,,,,,,,,,,,,,
Rajasthan,Dhaulpur,,,,,,,,,,,,,,,,,,,,
Rajasthan,Dungarpur,,,,,,,,,,,,,,,,,,,,
Rajasthan,Ganganagar,,,,,,,,,,,,,,,,,,,,
Rajasthan,Hanumangarh,,,,,,,,,,,,,,,,,,,,
Rajasthan,Jaipur,,,,,,,,,,,,,,,,,,,,
Rajasthan,Jaisalmer,,,,,,,,,,,,,,,,,,,,
Rajasthan,Jalor,,,,,,,,,,,,,,,,,,,,
Rajasthan,Jhalawar,,,,,,,,,,,,,,,,,,,,
Rajasthan,Jhunjhunun,,,,,,,,,,,,,,,,,,,,
Rajasthan,Jodhpur,,,,,,,,,,,,,,,,,,,,
Rajasthan,Karauli,,,,,,,,,,,,,,,,,,,,
Rajasthan,Kota,,,,,,,,,,,,,,,,,,,,
Rajasthan,Nagaur,,,,,,,,,,,,,,,,,,,,
Rajasthan,Pali,,,,,,,,,,,,,,,,,,,,
Rajasthan,Pratapgarh,,,,,,,,,,,,,,,,,,,,
Rajasthan,Rajsamand,,,,,,,,,,,,,,,,,,,,
Rajasthan,Sawai Madhopur,,,,,,,,,,,,,,,,,,,,
Rajasthan,Sikar,,,,,,,,,,,,,,,,,,,,
Rajasthan,Sirohi,,,,,,,,,,,,,,,,,,,,
Rajasthan,Tonk,,,,,,,,,,,,,,,,,,,,
Rajasthan,Udaipur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Agra,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Aligarh,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Ambedkar Nagar,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Amethi,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Auraiya,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Azamgarh,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Baghpat,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Bahraich,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Ballia,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Balrampur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Banda,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Bara Banki,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Bareilly,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Basti,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Bijnor,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Budaun,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Bulandshahr,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Chandauli,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Chitrakoot,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Deoria,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Etah,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Etawah,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Faizabad,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Farrukhabad,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Fatehpur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Firozabad,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Gautam Buddha Nagar,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Ghaziabad,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Ghazipur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Gonda,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Gorakhpur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Hamirpur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Hapur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Hardoi,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Jalaun,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Jaunpur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Jhansi,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Jyotiba Phule Nagar,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Kannauj,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Kanpur Dehat,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Kanpur Nagar,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Kanshiram Nagar,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Kaushambi,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Kheri,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Kushinagar,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Lalitpur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Lucknow,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Mahamaya Nagar,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Mahoba,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Mahrajganj,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Mainpuri,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Mathura,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Mau,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Meerut,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Mirzapur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Moradabad,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Muzaffarnagar,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Pilibhit,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Pratapgarh,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Prayagraj,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Rae Bareli,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Rampur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Saharanpur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Sambhal,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Sant Kabir Nagar,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Shahjahanpur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Shamli,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Shrawasti,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Siddharthnagar,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Sitapur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Sonbhadra,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Sultanpur,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Unnao,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Varanasi,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Adilabad,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Godavari East,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Godavari West,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Hyderabad,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Kadapa,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Karimnagar,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Khammam,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Mahabubnagar,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Medak,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Nalgonda,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Nellore,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Nizambad,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Rangareddy,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Visakapatnam,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Warangal,,,,,,,,,,,,,,,,,,,,
Assam,Kamrup (Metropolitan),,,,,,,,,,,,,,,,,,,,
Assam,Kamrup Rural,,,,,,,,,,,,,,,,,,,,
Assam,Karbi-Anglong,,,,,,,,,,,,,,,,,,,,
Bihar,Bhabhua,,,,,,,,,,,,,,,,,,,,
Bihar,Buxar,,,,,,,,,,,,,,,,,,,,
Bihar,East Champaran,,,,,,,,,,,,,,,,,,,,
Bihar,Gopalgang,,,,,,,,,,,,,,,,,,,,
Bihar,Kishangang,,,,,,,,,,,,,,,,,,,,
Bihar,Purnea,,,,,,,,,,,,,,,,,,,,
Bihar,Samstipur,,,,,,,,,,,,,,,,,,,,
Bihar,Shekhpura,,,,,,,,,,,,,,,,,,,,
Bihar,West Champaran,,,,,,,,,,,,,,,,,,,,
Karnataka,Bagalkote,,,,,,,,,,,,,,,,,,,,
Karnataka,Bangalore Urban,,,,,,,,,,,,,,,,,,,,
Karnataka,Chickballapur,,,,,,,,,,,,,,,,,,,,
Karnataka,Chickmagalur,,,,,,,,,,,,,,,,,,,,
Karnataka,Davangere,,,,,,,,,,,,,,,,,,,,
Karnataka,Ramnagara,,,,,,,,,,,,,,,,,,,,
Karnataka,Uttara Kannads,,,,,,,,,,,,,,,,,,,,
Karnataka,Yadagiri,,,,,,,,,,,,,,,,,,,,
Kerala,Eranakulam,,,,,,,,,,,,,,,,,,,,
Maharashtra,Ahmednagar,,,,,,,,,,,,,,,,,,,,
Maharashtra,Beed,,,,,,,,,,,,,,,,,,,,
Maharashtra,Buldhana,,,,,,,,,,,,,,,,,,,,
Maharashtra,Gondia,,,,,,,,,,,,,,,,,,,,
Maharashtra,Raigad,,,,,,,,,,,,,,,,,,,,
Maharashtra,Wahim,,,,,,,,,,,,,,,,,,,,
Odisha,Angul,,,,,,,,,,,,,,,,,,,,
Odisha,Balasore,,,,,,,,,,,,,,,,,,,,
Odisha,Boudh,,,,,,,,,,,,,,,,,,,,
Odisha,Deogarh,,,,,,,,,,,,,,,,,,,,
Odisha,Jagatsinghpur,,,,,,,,,,,,,,,,,,,,
Odisha,Jajpur,,,,,,,,,,,,,,,,,,,,
Odisha,Nabarangpur,,,,,,,,,,,,,,,,,,,,
Odisha,Nayargarh,,,,,,,,,,,,,,,,,,,,
Punjab,Firozepur,,,,,,,,,,,,,,,,,,,,
Punjab,Roopnagar,,,,,,,,,,,,,,,,,,,,
Punjab,Taran Tarn,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Allahabad,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Amorha,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Auraiyya,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Badaun,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Bagpat,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Barabanki,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Buland Shahar,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Gautambudh nagar,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Hathras,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Kushi Nagar,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Maharaj Ganj,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Pratap Garh,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Sant kabeer Maharaj Ganj,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Sant Ravi Das Nagar,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Shravasti,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,Siddharth Nagar,,,,,,,,,,,,,,,,,,,,
West Bengal,24-Parganas (North),,,,,,,,,,,,,,,,,,,,
West Bengal,24-Parganas (South),,,,,,,,,,,,,,,,,,,,
West Bengal,Burdwan,,,,,,,,,,,,,,,,,,,,
West Bengal,Cooch Behar,,,,,,,,,,,,,,,,,,,,
West Bengal,Hooghly,,,,,,,,,,,,,,,,,,,,
West Bengal,Howrah,,,,,,,,,,,,,,,,,,,,
West Bengal,Malda,,,,,,,,,,,,,,,,,,,,
West Bengal,Midnapore East,,,,,,,,,,,,,,,,,,,,
West Bengal,Midnapore West,,,,,,,,,,,,,,,,,,,,
West Bengal,Purulia,,,,,,,,,,,,,,,,,,,,
